size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,1.2372445290509404e-6,4.785869483825422e-6,3.0772471795352876e-6
4,262144,6.199339180668062e-6,6.199457892819282e-6,6.199393420131388e-6
8,262144,6.260589904272251e-6,6.260709076499893e-6,6.260643136088487e-6
16,262144,3.745254077891502e-5,3.745324714721221e-5,3.74528520231919e-5
32,262144,4.363721454581082e-5,4.363802517026727e-5,4.36375771095575e-5
64,262144,4.367650470626927e-5,4.367731926002705e-5,4.3676868415845324e-5
128,262144,4.520596385937381e-5,4.520681484265765e-5,4.520634893218021e-5
256,262144,4.695328807713395e-5,4.695417278277603e-5,4.695368293461342e-5
512,262144,5.579792919085946e-5,5.579895736573803e-5,5.5798391442627285e-5
1024,262144,5.825748653442986e-5,5.825857379981869e-5,5.8257972393520666e-5
2048,131072,6.66824195114657e-5,6.668367157303123e-5,6.668298078163781e-5
4096,65536,8.765230347052011e-5,8.765545211986137e-5,8.765314165117694e-5
8192,32768,0.00013439518340874201,0.00013440487488480812,0.00013439663186078782
16384,16384,0.00022932513124374054,0.00022934383608230746,0.00022932938202921416
32768,8192,0.0004246662060154449,0.0004247105468380141,0.0004246815073271441
65536,4096,0.0008683727099878524,0.0008685961817036514,0.0008684324496685177
131072,2048,0.0003577760694497556,0.00035778382334683556,0.0003577801585156933
262144,1024,0.000452589199085196,0.0004525978415585996,0.0004525932214289874
524288,512,0.0005613424809780554,0.0005613529101538006,0.0005613472990832294
1048576,256,0.0007502212883991888,0.000750242461435846,0.0007502344568234657
2097152,128,0.0012809371073672082,0.0012810438274755143,0.0012810265320819525
4194304,64,0.002102298749377951,0.0021025343739893287,0.0021025040212639587
