size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,65536,2.574199218749766e-7,2.658365020751798e-7,2.616282119750782e-7
1,65536,1.0044634704589844e-6,1.0044662933349777e-6,1.004464881896981e-6
2,65536,9.284168395995961e-7,9.284353485107424e-7,9.284260940551692e-7
4,65536,9.30298797607431e-7,9.303095550536886e-7,9.303041763305598e-7
8,65536,1.0729034729004081e-6,1.0729128417968545e-6,1.0729081573486313e-6
16,65536,1.4601786804199096e-6,1.460187896728507e-6,1.4601832885742082e-6
32,65536,9.570559692382479e-7,9.5708142089845e-7,9.57068695068349e-7
64,65536,1.307947479248033e-6,1.3079518890381117e-6,1.3079496841430724e-6
128,65536,1.0347941589355708e-6,1.0348061523437362e-6,1.0348001556396535e-6
256,65536,1.0128906860351768e-6,1.0129043121337986e-6,1.0128974990844877e-6
512,65536,1.0968804931640744e-6,1.0968895111083976e-6,1.096885002136236e-6
1024,65536,1.222068527221708e-6,1.2220850067138495e-6,1.2220767669677787e-6
2048,32768,1.392344177246073e-6,1.3923606872559037e-6,1.3923524322509884e-6
4096,16384,2.5742916259766015e-6,2.574341735839692e-6,2.574316680908147e-6
8192,8192,3.5733077392578923e-6,3.573362304687324e-6,3.573335021972608e-6
16384,4096,5.18567773437513e-6,5.1859167480468316e-6,5.185797241210981e-6
32768,2048,8.520323730467488e-6,8.520617675781758e-6,8.520470703124623e-6
65536,1024,1.683741699218949e-5,1.6838264648440238e-5,1.6837840820314864e-5
131072,512,3.2543279296873284e-5,3.254579687499842e-5,3.2544538085935854e-5
262144,256,6.728081640625105e-5,6.728494531249574e-5,6.72828808593734e-5
524288,128,0.00013085428906250973,0.00013086431249997865,0.0001308593007812442
1048576,64,0.0004125481874999726,0.0004125628281250182,0.0004125555078124954
