size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,65536,9.188085586231409e-5,9.188287354078284e-5,9.188145425128673e-5
1,65536,0.0001508604908764255,0.00015086380279427658,0.00015086147202851563
2,65536,0.0001334432678206099,0.00013344619934230195,0.00013344413555570664
4,65536,0.00013547054840046258,0.00013547352462950357,0.00013547143157301156
8,65536,0.00011936152679226097,0.00011936414413327157,0.00011936230305290933
16,65536,0.00011394163971090165,0.00011394414535459418,0.00011394238448037923
32,65536,0.00011374153473298065,0.00011374404083142053,0.0001137422811825541
64,65536,0.00011326537720179886,0.00011326786606247197,0.00011326611746158288
128,65536,0.0001126286083987793,0.00011263107772663261,0.00011262934462157037
256,65536,0.00011839349395614818,0.00011839609268093909,0.00011839426437069978
512,65536,0.0001370686473052274,0.00013707166061749376,0.00013706954275898944
1024,65536,0.0001757985571231302,0.00017580241149772746,0.00017579969853175984
2048,32768,0.00026359476348147837,0.00026360054259555454,0.0002635964735462626
4096,16384,0.0004427094488619332,0.0004427192010609815,0.00044271235580117807
8192,8192,0.0007620647680255388,0.0007620831018471108,0.0007620713430712319
16384,4096,0.001429815341793983,0.0014298465893034518,0.0014298246678590143
32768,2048,0.0027839520798806916,0.002784022578225631,0.002783979854138844
65536,1024,0.005526812353309651,0.005526934169665765,0.005526848456352281
131072,512,0.01113678589808842,0.011137030565805617,0.011136858957373855
262144,256,0.02237914581928635,0.022379636719051632,0.022379291959631804
524288,128,0.045288913359399885,0.04528990687322221,0.04528921015228349
1048576,64,0.09249620843911543,0.09249823265417945,0.09249680799399584
