size (bytes),iterations,time (seconds),throughput (MB/s)
0,4194304,3.5685119357253825e-6,0.0
1,4194304,3.6313629174777873e-6,0.2753787001533197
2,4194304,3.5885046880679283e-6,0.5573352061236435
4,4194304,3.594484814906096e-6,1.1128159405242886
8,4194304,3.6365990041531404e-6,2.199857611703595
16,4194304,3.6763082016388893e-6,4.352192232649928
32,4194304,3.702840429609111e-6,8.642014315312547
64,4194304,3.7089337958651214e-6,17.25563289141207
128,4194304,3.718932578333778e-6,34.41847823370566
256,4194304,3.8399264421506984e-6,66.66794373712465
512,4194304,4.06164862054581e-6,126.05718707670894
1024,4194304,4.316424955908005e-6,237.2333610476476
2048,2097152,4.6372291984120295e-6,441.64303992162303
4096,1048576,5.492082496338924e-6,745.8008875013138
8192,524288,5.661552847868734e-6,1446.952844939678
16384,262144,1.0532507413785197e-5,1555.56500995729
32768,131072,1.217341051784615e-5,2691.768256066145
65536,65536,1.9726808588416134e-5,3322.1795459851364
131072,32768,3.0059728175046985e-5,4360.385404576105
262144,16384,5.069594971018887e-5,5170.906186758235
524288,8192,9.207334494476527e-5,5694.243000669955
1048576,4096,0.00017490054142399458,5995.270177340606
2097152,2048,0.0003413779882066592,6143.196317421766
4194304,1024,0.0006766936494386755,6198.2316569384375
