size (bytes),iterations,time (seconds),throughput (MB/s)
0,4194304,1.2734277466952548e-6,0.0
1,4194304,1.2589522856432112e-6,0.7943112788338043
2,4194304,1.2612008637447047e-6,1.5857902238202437
4,4194304,1.2604158955431544e-6,3.1735556605911177
8,4194304,1.2635158225249299e-6,6.331539231549398
16,4194304,1.2617142809423498e-6,12.68115946825133
32,4194304,1.5515278217748119e-6,20.624831569823094
64,4194304,1.554659021851812e-6,41.166583218850924
128,4194304,1.5873248805364781e-6,80.6388166464946
256,4194304,1.8001196023798016e-6,142.21277278552037
512,4194304,2.0189093228317745e-6,253.6022763428798
1024,4194304,2.209952360332501e-6,463.3584046336333
2048,2097152,2.4601099088972234e-6,832.483131177681
4096,1048576,2.9892595962976998e-6,1370.2389732470997
8192,524288,4.061090445262039e-6,2017.1922074666863
16384,262144,7.280303945478295e-6,2250.4554923391483
32768,131072,1.1510745665077593e-5,2846.7313025093335
65536,65536,1.7574645852391768e-5,3729.008285596895
131072,32768,2.789028918925851e-5,4699.556864060063
262144,16384,4.868755672760017e-5,5384.209387763238
524288,8192,9.002043032069196e-5,5824.100130739855
1048576,4096,0.00017305169831161038,6059.322215444845
2097152,2048,0.0003396973477265419,6173.589561518207
4194304,1024,0.0006739790733263362,6223.196188124294
