size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,1.2446133812460403e-6,3.2481781762072615e-6,2.3596317432191794e-6
4,262144,6.189394644806612e-6,6.189513701571059e-6,6.189448005103984e-6
8,262144,6.423361586627152e-6,6.423483620565662e-6,6.4234162994357994e-6
16,262144,3.1355920420139682e-6,7.228193469899225e-5,7.916944068176527e-6
32,262144,3.4920603564359e-6,2.55072056578598e-5,8.104389272983736e-6
64,262144,3.3949039845992957e-6,2.5757453117947193e-5,8.036419146693086e-6
128,262144,3.420856131697292e-6,3.0312556077660702e-5,8.661559821216669e-6
256,262144,3.5163054654674397e-6,3.213851318406569e-5,9.023835099342762e-6
512,262144,7.564775810209312e-6,3.475816757081418e-5,1.2580761896331498e-5
1024,262144,7.616836661838988e-6,3.6609666443254696e-5,1.301570198573796e-5
2048,131072,8.165115204405993e-6,4.2312509460629144e-5,1.497303099201192e-5
4096,65536,8.712524717680026e-6,5.241913650166907e-5,1.633266951511896e-5
8192,32768,1.0238244016136377e-5,6.660410156200669e-5,1.9455825937287712e-5
16384,16384,9.36910828386317e-6,0.00010626811464931052,2.130449022949103e-5
32768,8192,1.3492438995399425e-5,0.00015500876219221027,3.736250761326073e-5
65536,4096,0.0002651614355499987,0.0003024954223747045,0.00027538094979353184
131072,2048,0.00032906258297771274,0.0003312668261514773,0.0003297952350246325
262144,1024,0.00046759984388700104,0.00046962195312971744,0.00046846982965790634
524288,512,0.0008176560158972279,0.0008211845306504983,0.0008190787169768399
1048576,256,0.0013805200378556037,0.0013867221477994462,0.0013834210579786916
2097152,128,0.002737797734880587,0.0027487081242725253,0.002741050888341571
4194304,64,0.005647478436003439,0.005674576404999243,0.0056536816478664305
