size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,1.2092656707096694e-6,4.815016060533139e-6,3.0929145467181265e-6
4,262144,6.19569152959798e-6,6.195832366273635e-6,6.195738838993964e-6
8,262144,6.4294338226744685e-6,6.4295756541099536e-6,6.429477665170075e-6
16,262144,3.723499195018576e-5,3.723582427994643e-5,3.723523583186797e-5
32,262144,4.325514446357204e-5,4.3256103554156766e-5,4.32554308334443e-5
64,262144,4.3143609428142327e-5,4.314456642084963e-5,4.314389905328564e-5
128,262144,4.448330879291973e-5,4.448429153391942e-5,4.4483601409343876e-5
256,262144,4.648613693269965e-5,4.648716869404268e-5,4.6486444104301465e-5
512,262144,5.535501346543015e-5,5.5356236609682696e-5,5.5355375999166977e-5
1024,262144,5.780075721695255e-5,5.78020438002369e-5,5.7801139146479906e-5
2048,131072,6.734100075078686e-5,6.73425162496244e-5,6.734143731076021e-5
4096,65536,8.683120132246813e-5,8.683481475912913e-5,8.683182257115951e-5
8192,32768,0.00013379607391073023,0.00013380819794406307,0.00013379741489245403
16384,16384,0.00022776477416641683,0.0002277845117362176,0.00022776838170020705
32768,8192,0.0004221839258207183,0.0004222401098559203,0.0004221977338279744
65536,4096,0.0008860312036631512,0.0008861696607027625,0.0008860856219958061
131072,2048,0.00035640827627503313,0.0003564197070318187,0.00035641399721697553
262144,1024,0.00045260648448675056,0.0004526175198407145,0.00045261003817446505
524288,512,0.0005656807616105652,0.0005656946868839441,0.0005656860359177784
1048576,256,0.0008101332805381389,0.0008101956645987229,0.0008101812815570023
