size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,65536,5.314797515868852e-7,5.810278930664238e-7,5.562538223266545e-7
1,65536,1.1379200744628657e-6,1.1379201049804464e-6,1.137920089721656e-6
2,65536,1.1431699066162277e-6,1.1431854705810582e-6,1.143177688598643e-6
4,65536,1.2705450134277733e-6,1.2705472564697342e-6,1.2705461349487538e-6
8,65536,1.1499477386474745e-6,1.1499522705078215e-6,1.149950004577648e-6
16,65536,1.1247430419921637e-6,1.1247510223388532e-6,1.1247470321655085e-6
32,65536,1.1188373107909994e-6,1.1188469390869355e-6,1.1188421249389675e-6
64,65536,1.217115081787116e-6,1.2171174926757706e-6,1.2171162872314433e-6
128,65536,1.2245963897705497e-6,1.224600509643558e-6,1.2245984497070538e-6
256,65536,1.2457127685546604e-6,1.2457443084716601e-6,1.2457285385131603e-6
512,65536,1.428189697265641e-6,1.4281925048828439e-6,1.4281911010742424e-6
1024,65536,1.3922339477538724e-6,1.3922648925781037e-6,1.392249420165988e-6
2048,32768,1.5863040771484788e-6,1.5863865661621453e-6,1.586345321655312e-6
4096,16384,2.7933329467774194e-6,2.7933580322265453e-6,2.7933454895019824e-6
8192,8192,3.6523177490235294e-6,3.6523896484374693e-6,3.6523536987304994e-6
16384,4096,5.202081787109361e-6,5.202417236328111e-6,5.202249511718736e-6
32768,2048,7.837654296875482e-6,7.837733886718878e-6,7.83769409179718e-6
65536,1024,1.4613841796875388e-5,1.4613851562501196e-5,1.4613846679688292e-5
131072,512,2.8107562499997407e-5,2.810874414062997e-5,2.810815332031369e-5
262144,256,5.428778515624566e-5,5.431262890624733e-5,5.4300207031246495e-5
524288,128,0.00010827864062501469,0.0001083021250000149,0.0001082903828125148
1048576,64,0.00027299171875000416,0.00027318257812497526,0.0002730871484374897
