size (bytes),iterations,latency (seconds)
0,4194304,1.2206601611719492e-6
1,4194304,1.2245130543986349e-6
2,4194304,1.2212131260680437e-6
4,4194304,1.218354862331239e-6
8,4194304,1.2181472952565997e-6
16,4194304,1.2203537844701629e-6
32,4194304,1.5190654962804473e-6
64,4194304,1.5217128808142633e-6
128,4194304,1.5161827517928828e-6
256,4194304,1.7238108241945937e-6
512,4194304,1.9424673644019563e-6
1024,4194304,2.1746034091219e-6
2048,2097152,2.4393827284807656e-6
4096,1048576,2.9689607310423582e-6
8192,524288,4.11651528331447e-6
16384,262144,7.368689573183929e-6
32768,131072,1.1563006626857941e-5
65536,65536,1.76801828644102e-5
131072,32768,2.803726330569134e-5
262144,16384,4.86856141037606e-5
524288,8192,9.015711907522928e-5
1048576,4096,0.0001730417409362417
2097152,2048,0.0003394161858523148
4194304,1024,0.0006735420311088092
