size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,1.2495410910418059e-6,1.5188198467797065e-6,1.4219659595175276e-6
4,262144,6.438268279396198e-6,6.438391723762038e-6,6.4383233651932326e-6
8,262144,6.366248626932247e-6,6.366368712207304e-6,6.3663026950653194e-6
16,262144,3.2578455737564127e-6,0.00014899929611189577,8.679561697280276e-6
32,262144,3.402655181616865e-6,2.7868222504778828e-5,8.000470393444009e-6
64,262144,3.4892813101095044e-6,2.801858573775462e-5,8.188119820096672e-6
128,262144,3.4167369857840413e-6,3.299762359709746e-5,8.763457765110423e-6
256,262144,3.432660980351443e-6,3.433038547484557e-5,9.062287943552468e-6
512,262144,7.3800109472443864e-6,3.7354720536342256e-5,1.3000729813876568e-5
1024,262144,7.418949737214575e-6,3.907429760019454e-5,1.32967057096256e-5
2048,131072,7.790585328848465e-6,4.279177345267726e-5,1.4888167561010144e-5
4096,65536,7.97434326216262e-6,5.101433181664561e-5,1.6023118740998942e-5
8192,32768,8.71306487226775e-6,5.983740325632425e-5,1.8246043239302883e-5
16384,16384,8.859970080266066e-6,0.00010072067505006999,1.760130764324556e-5
32768,8192,1.2640668956009904e-5,0.00015359128292402602,2.9112360062329607e-5
65536,4096,0.0002692708569611568,0.0002705583178794768,0.0002695386611784774
131072,2048,0.0003313407469249796,0.00033343356449222483,0.000332170233140916
262144,1024,0.0004678938867073157,0.00047147050781859434,0.00046878916619593386
524288,512,0.0008147382623064914,0.0008215437301259954,0.0008165254180048839
1048576,256,0.001387019805406453,0.0013932525780546712,0.0013899062694792501
