#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.02,0.00
1,1000,1.02,0.98
2,1000,1.02,1.97
4,1000,1.02,3.94
8,1000,1.02,7.87
16,1000,1.14,14.05
32,1000,1.14,27.98
64,1000,1.14,56.21
128,1000,1.15,110.87
256,1000,1.20,213.07
512,1000,1.27,403.97
1024,1000,1.44,710.09
2048,1000,1.69,1208.91
4096,1000,2.16,1894.56
8192,1000,3.13,2618.48
16384,1000,5.90,2779.30
32768,1000,7.96,4116.29
65536,640,14.63,4478.43
131072,320,19.08,6870.34
262144,160,31.72,8265.45
524288,80,52.53,9981.67
1048576,40,96.40,10877.17
2097152,20,183.85,11406.83
4194304,10,357.21,11741.82
