#bytes,#repetitions,t_min[usec],t_max[usec],t_avg[usec]
0,1000,0.04,0.28,0.10
4,1000,0.60,8.30,1.34
8,1000,0.58,7.84,1.40
16,1000,0.63,9.41,1.88
32,1000,0.64,12.47,2.15
64,1000,0.82,10.04,2.15
128,1000,0.81,8.33,2.05
256,1000,0.84,10.01,2.28
512,1000,0.96,22.90,3.27
1024,1000,1.27,12.83,2.87
2048,1000,1.79,13.80,3.39
4096,1000,2.65,13.49,4.38
8192,1000,4.51,19.77,6.99
16384,1000,9.08,78.75,35.16
32768,1000,12.19,88.48,42.83
65536,640,21.74,131.72,68.40
131072,320,36.22,202.76,107.61
262144,160,50.60,397.23,129.98
524288,80,100.91,568.22,239.76
1048576,40,211.34,1031.89,476.15
2097152,20,425.34,1964.46,921.06
4194304,10,857.07,3992.37,1793.30
