size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.804335963446647e-7,3.63122126145754e-7,3.354758670563266e-7
4,262144,1.1980279850831721e-5,1.199193957290845e-5,1.199015194591387e-5
8,262144,1.2043805327266455e-5,1.2057036656187847e-5,1.2054452796898356e-5
16,262144,1.714968584565213e-5,1.7165873032354284e-5,1.7162908685956307e-5
32,262144,1.7230120647582226e-5,1.7243638467334677e-5,1.7241059216151673e-5
64,262144,1.8198475117969792e-5,1.8206437744083814e-5,1.8204779098596192e-5
128,262144,1.819596036511939e-5,1.8204510524810757e-5,1.8202029862853428e-5
256,262144,1.9006076399818994e-5,1.9015417819900904e-5,1.9013347521953013e-5
512,262144,2.2732369870936964e-5,2.27428017751663e-5,2.2740454839246618e-5
1024,262144,2.125947048625676e-5,2.1276365259836894e-5,2.1273697484502918e-5
2048,131072,2.3217817215481773e-5,2.3236181732499972e-5,2.3232968487718608e-5
4096,65536,2.8810176445404068e-5,2.8826132620451972e-5,2.8822289944704e-5
8192,32768,3.770630428334698e-5,3.772419586312026e-5,3.771975546745428e-5
16384,16384,0.00010609501623548567,0.00010613298218231648,0.00010611854449962265
32768,8192,0.00015051820082589984,0.00015055754920467734,0.0001505442555450524
65536,4096,0.00020328594837337732,0.00020332122221589088,0.0002033064083661884
131072,2048,0.0002946921158581972,0.0002947340253740549,0.00029471175900350015
262144,1024,0.000508427619934082,0.0005085344891995192,0.0005084849816436569
524288,512,0.0008711554110050201,0.0008714492432773113,0.0008713089783365528
1048576,256,0.001569029875099659,0.0015701130032539368,0.001569564299037059
2097152,128,0.0030722059309482574,0.0030784085392951965,0.0030747367069125175
4194304,64,0.005902409553527832,0.005929730832576752,0.005912806900839011
