size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,65536,2.4615656002424657e-7,2.8923386707901955e-7,2.6343611049621054e-7
1,65536,0.0001563254845677875,0.00015633750081178732,0.00015633416830193407
2,65536,0.00014873278996674344,0.00014874257976771332,0.00014873984746373027
4,65536,0.0001461133870179765,0.00014612209633924067,0.00014611927199439378
8,65536,0.00015033110321382992,0.00015034072566777468,0.0001503375880929525
16,65536,0.00028775229293387383,0.0002877620172512252,0.0002877583192457678
32,65536,0.00031383236273541115,0.0003138458923785947,0.000313840777198493
64,65536,0.0002981968464155216,0.00029820667987223715,0.0002982039145232799
128,65536,0.0003047163045266643,0.00030473381411866285,0.0003047284983040299
256,65536,0.0003020214971911628,0.00030203563073882833,0.0003020314051658109
512,65536,0.00032164832373382524,0.00032166571327252313,0.00032166046773151414
1024,65536,0.00033992161115747876,0.0003399380038899835,0.00033993301385635275
2048,32768,0.0003479247461655177,0.0003479518854874186,0.00034794106334932925
4096,16384,0.00042411283357068896,0.00042415500502102077,0.0004241402338569363
8192,8192,0.0005801801453344524,0.0005802853556815535,0.0005802378747224187
16384,4096,0.0009900056174956262,0.000990267377346754,0.000990142856608145
32768,2048,0.001473800279200077,0.0014744284562766552,0.0014741149498149753
65536,1024,0.0029314595740288496,0.002933742245659232,0.002932671554541836
131072,512,0.0048807039856910706,0.0048876660875976086,0.004884587236059209
262144,256,0.009265532717108727,0.009298200719058514,0.009284044243395328
524288,128,0.01905089244246483,0.01916174776852131,0.019112427035967508
1048576,64,0.04377053678035736,0.04429502785205841,0.04404884651303291
