size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,65536,1.1817246559076011e-6,1.4005163393449038e-6,1.2611314256597932e-6
1,65536,4.3411397200543433e-5,4.3417188862804323e-5,4.341470830695471e-5
2,65536,4.350369636085816e-5,4.350763265392743e-5,4.350573047607516e-5
4,65536,4.005034134024754e-5,4.005501250503585e-5,4.005299045578189e-5
8,65536,3.791955896303989e-5,3.79229495592881e-5,3.792130664805882e-5
16,65536,4.563073889585212e-5,4.56349371233955e-5,4.563324200717034e-5
32,65536,4.717537740361877e-5,4.718015406979248e-5,4.7178186590220625e-5
64,65536,4.6745797590119764e-5,4.6750250476179644e-5,4.6747932537982705e-5
128,65536,4.819029709324241e-5,4.8194939154200256e-5,4.819282100167281e-5
256,65536,4.748608989757486e-5,4.748963692691177e-5,4.7487710617133416e-5
512,65536,4.736373739433475e-5,4.736771734314971e-5,4.736630338205335e-5
1024,65536,4.999715747544542e-5,5.000179589842446e-5,4.999956539298485e-5
2048,32768,5.573696398641914e-5,5.574190436163917e-5,5.573966457935361e-5
4096,16384,6.668083369731903e-5,6.668908463325351e-5,6.668502367877712e-5
8192,8192,9.81575867626816e-5,9.817865793593228e-5,9.817299627078077e-5
16384,4096,0.0001853888970799744,0.00018543348414823413,0.00018541572499088942
32768,2048,0.00032501574605703354,0.0003251218004152179,0.0003250937171590825
65536,1024,0.0003155977465212345,0.00031588785350322723,0.00031575744894022745
131072,512,0.0006221341900527477,0.0006232908926904202,0.0006228118514021237
262144,256,0.0012289145961403847,0.0012335814535617828,0.0012314688414335252
524288,128,0.0024374276399612427,0.0024562347680330276,0.0024475893937051297
1048576,64,0.005059894174337387,0.005136746913194656,0.005101027712225914
