size (bytes),iterations,time (seconds),throughput (MB/s)
0,4194304,1.5337963077399763e-6,0.0
1,4194304,1.427019810762431e-6,0.700761119402903
2,4194304,1.462967588850006e-6,1.3670842848761529
4,4194304,1.4529555869557953e-6,2.7530091324957313
8,4194304,1.4363130276251468e-6,5.56981649969958
16,4194304,2.2983022631706262e-6,6.961660464071064
32,4194304,2.299514846981765e-6,13.915978860498203
64,4194304,2.277829366903461e-6,28.09692461161093
128,4194304,2.3056952045408252e-6,55.51470972742512
256,4194304,2.371272330492502e-6,107.95892007344007
512,4194304,2.442443360450852e-6,209.6261507187989
1024,4194304,2.530189078697731e-6,404.71283692641856
2048,2097152,2.817267272803292e-6,726.945582966347
4096,1048576,3.30795796799066e-6,1238.2261321439998
8192,524288,4.412359430716606e-6,1856.603055265955
16384,262144,7.467479917977471e-6,2194.0467440101966
32768,131072,1.0726222171797417e-5,3054.943247973857
65536,65536,1.5918347344268113e-5,4117.010301549818
131072,32768,2.2008855012245476e-5,5955.421121501915
262144,16384,3.3209624234586954e-5,7893.615361265784
524288,8192,5.4994801757857203e-5,9533.410126805195
1048576,4096,9.928247891366482e-5,10561.541285767376
2097152,2048,0.00019132602028548717,10961.143690077985
4194304,1024,0.0003723357804119587,11264.84270557976
