size (bytes),iterations,time (seconds),throughput (MB/s)
0,4194304,1.0331758062420704e-6,0.0
1,4194304,1.033642320180661e-6,0.9674526482480119
2,4194304,1.0315783356418251e-6,1.9387766598991676
4,4194304,1.0311411529073666e-6,3.87919732300641
8,4194304,1.0298039967437944e-6,7.768468587513479
16,4194304,1.1537715352005762e-6,13.867563474963436
32,4194304,1.154133855152395e-6,27.72641999638303
64,4194304,1.1580602006233676e-6,55.2648298987822
128,4194304,1.1702554445491842e-6,109.37782908526373
256,4194304,1.233946079537418e-6,207.46449479864577
512,4194304,1.2968228304544027e-6,394.81106283469484
1024,4194304,1.4351949459978641e-6,713.4919216762097
2048,2097152,1.672821326792473e-6,1224.2789873601791
4096,1048576,2.1610300109387026e-6,1895.392465290563
8192,524288,3.100425601587631e-6,2642.2178928612684
16384,262144,6.251312242966378e-6,2620.889720943686
32768,131072,8.212993634515442e-6,3989.7754044628914
65536,65536,1.4554834706359543e-5,4502.696273930539
131072,32768,1.9297163817100227e-5,6792.293481172101
262144,16384,3.188184928148985e-5,8222.358674538904
524288,8192,5.334439629223198e-5,9828.361298304671
1048576,4096,9.64006467256695e-5,10877.271425200779
2097152,2048,0.0001843493664637208,11375.965321870042
4194304,1024,0.00035738584119826555,11736.066504305476
