size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.7286296244710684e-7,3.1152467272477224e-7,2.918279885003964e-7
4,262144,1.401669578626752e-6,5.05527168570552e-6,3.09276891433304e-6
8,262144,1.6956382751232013e-6,5.499297003552783e-6,3.4416695749920716e-6
16,262144,3.9918786569614895e-6,6.2199569583754055e-6,5.1242480367363895e-6
32,262144,4.0778004404273815e-6,6.168640538817272e-6,5.087967595803396e-6
64,262144,4.355134478828404e-6,6.673200005025137e-6,5.301807853660042e-6
128,262144,4.119807272218168e-6,6.363634383887984e-6,5.102904257607103e-6
256,262144,4.345730303612072e-6,6.5866761360666715e-6,5.275041939967196e-6
512,262144,4.941825864079874e-6,7.136551175790373e-6,5.882304958504392e-6
1024,262144,6.066950845706742e-6,8.371843250642996e-6,7.093152044035378e-6
2048,131072,6.972417395445518e-6,9.313298505730927e-6,7.998210730875143e-6
4096,65536,9.1841648099944e-6,1.4682409528177232e-5,1.136950886575505e-5
8192,32768,1.3005781511310488e-5,2.1879386622458696e-5,1.6709657938918098e-5
16384,16384,1.6104240785352886e-5,5.7227734941989183e-5,3.878520559131478e-5
32768,8192,1.6261765267699957e-5,8.090384653769433e-5,5.2371997056373706e-5
65536,4096,0.00010710384231060743,0.00010715093230828643,0.00010712991837256899
131072,2048,0.00016787857748568058,0.00016798730939626694,0.00016793002335665128
262144,1024,7.546460255980492e-5,0.0004825657233595848,0.0003287782931389908
524288,512,0.00010997476056218147,0.0007205973379313946,0.0004463079152628779
1048576,256,0.00021675415337085724,0.0010429369285702705,0.0008309311699122191
2097152,128,0.0004417635500431061,0.002133350819349289,0.001684422604739666
4194304,64,0.0008853860199451447,0.004462968558073044,0.003509103258450826
