size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.4019027478061616e-7,3.2258685678243637e-7,2.614166078274138e-7
4,262144,1.0713079973356798e-5,1.071739552571671e-5,1.0715782961293977e-5
8,262144,1.0466397725394927e-5,1.0470315828570165e-5,1.0468985086239021e-5
16,262144,1.6682240129739512e-5,1.6689039512129966e-5,1.6687661551865556e-5
32,262144,1.5009645721875131e-5,1.5014222299214453e-5,1.5013024964597814e-5
64,262144,1.5919744328130037e-5,1.592502940184204e-5,1.592357317955854e-5
128,262144,1.5754074411233887e-5,1.5762802831886802e-5,1.5761372196720913e-5
256,262144,1.6309083548549097e-5,1.6317998415615875e-5,1.6316360430816226e-5
512,262144,1.6477926692459732e-5,1.6482596947753336e-5,1.6481092310035213e-5
1024,262144,1.8261367586092092e-5,1.827100004447857e-5,1.8269249297494148e-5
2048,131072,2.0917872461723164e-5,2.0923453121213242e-5,2.0921732660402387e-5
4096,65536,2.7251942810835317e-5,2.7258265618002042e-5,2.725601777153012e-5
8192,32768,3.64660081686452e-5,3.6477213143371046e-5,3.647421581263188e-5
16384,16384,0.00012184603838250041,0.00012186600361019373,0.00012185870242925982
32768,8192,0.000139029260026291,0.00013905714149586856,0.00013904227477420743
65536,4096,0.00021065224427729845,0.0002106758183799684,0.0002106633842534696
131072,2048,0.0002907424932345748,0.00029078370425850153,0.0002907653416817387
262144,1024,0.0004733388777822256,0.00047347252257168293,0.00047339519563441475
524288,512,0.0008496190421283245,0.0008503920398652554,0.0008497952561204632
1048576,256,0.0015123700723052025,0.0015132054686546326,0.0015128315736850104
