size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,65536,4.3511681724339724e-7,5.238762241788208e-7,4.6461361004427695e-7
1,65536,4.7127647121669725e-5,4.7146571887424216e-5,4.7140262662045034e-5
2,65536,4.5299591874936596e-5,4.5316781324800104e-5,4.5310913022452345e-5
4,65536,4.3050036765635014e-5,4.3065920181106776e-5,4.306106911826646e-5
8,65536,4.478781920624897e-5,4.4806198275182396e-5,4.480043832397011e-5
16,65536,4.533872561296448e-5,4.535651532933116e-5,4.535115185717586e-5
32,65536,4.5065185986459255e-5,4.507643825490959e-5,4.50717225248809e-5
64,65536,4.811271355720237e-5,4.8130445065908134e-5,4.812548795598559e-5
128,65536,4.918168633594178e-5,4.9197864427696913e-5,4.919326135374528e-5
256,65536,7.149950397433713e-5,7.151720637921244e-5,7.151161316869548e-5
512,65536,8.111071292660199e-5,8.111592615023255e-5,8.11135399393e-5
1024,65536,8.639330917503685e-5,8.639782390673645e-5,8.639594689157093e-5
2048,32768,0.00010343363101128489,0.00010343998292228207,0.0001034369209567861
4096,16384,0.00016297888942062855,0.00016300145944114774,0.000162993755172162
8192,8192,0.0002880267857108265,0.000288044975604862,0.000288037296559196
16384,4096,0.0004304414032958448,0.00043050345266237855,0.0004304827831219882
32768,2048,0.0007435827283188701,0.00074369041249156,0.000743648485513404
65536,1024,0.0015240334905683994,0.001524173654615879,0.0015241079730913044
131072,512,0.00677464110776782,0.006776252295821905,0.006775704072788357
262144,256,0.013434583321213722,0.013441922143101692,0.01343997538400193
524288,128,0.03058416023850441,0.03060237690806389,0.03059175635377566
1048576,64,0.03654852136969566,0.03656572848558426,0.03655770526578029
