size (bytes),iterations,latency (seconds)
0,4194304,1.0256162852328998e-6
1,4194304,1.0277379658418795e-6
2,4194304,1.0248764965581358e-6
4,4194304,1.0260230567382678e-6
8,4194304,1.024344527422727e-6
16,4194304,1.1452587784788193e-6
32,4194304,1.1465611464700487e-6
64,4194304,1.1404938504711026e-6
128,4194304,1.1575761504900584e-6
256,4194304,1.211099572628882e-6
512,4194304,1.2711043666513433e-6
1024,4194304,1.4076324248435412e-6
2048,2097152,1.6390476389460673e-6
4096,1048576,2.1141479464859003e-6
8192,524288,3.0577637062378926e-6
16384,262144,5.859786142536905e-6
32768,131072,7.85056545282714e-6
65536,65536,1.456251266063191e-5
131072,32768,2.0504419808275998e-5
262144,16384,3.1023409974295646e-5
524288,8192,5.277029413264245e-5
1048576,4096,9.623134974390268e-5
2097152,2048,0.00018338585505262017
4194304,1024,0.00035818968899548054
