size (bytes),iteratons,min_time (seconds),max_time (seconds),avg_time (seconds)
0,262144,2.7335954655427486e-7,3.2614480005577207e-7,2.989195763802854e-7
4,262144,1.6619633242953569e-6,5.51313587493496e-6,3.520719125541897e-6
8,262144,1.552177309349645e-6,5.798768142994959e-6,3.621543631500875e-6
16,262144,4.116838681511581e-6,6.150128683657385e-6,5.006446129603622e-6
32,262144,4.098450517631136e-6,6.080911589378957e-6,4.9373996565312455e-6
64,262144,4.021095264761243e-6,6.184303856571205e-6,4.996774775160399e-6
128,262144,4.126101885049138e-6,6.393380317604169e-6,5.084313291566407e-6
256,262144,4.32598426414188e-6,6.965756256249733e-6,5.416872257531698e-6
512,262144,4.790140337718185e-6,7.228730282804463e-6,5.7626258997819e-6
1024,262144,5.4757165344199166e-6,8.198847353924066e-6,6.611477859526834e-6
2048,131072,6.5307576733175665e-6,9.583936844137497e-6,7.916064835929623e-6
4096,65536,8.562943548895419e-6,1.275569957215339e-5,1.0149056955318277e-5
8192,32768,1.1682743206620216e-5,1.8694554455578327e-5,1.4784276451488647e-5
16384,16384,1.5461293514817953e-5,7.188029121607542e-5,4.6393359904565536e-5
32768,8192,1.5968194929882884e-5,8.35644023027271e-5,5.392764190522333e-5
65536,4096,0.00010408420348539948,0.00010411691619083285,0.00010409889121850331
131072,2048,0.0001685109455138445,0.00016859418246895075,0.0001685503094146649
262144,1024,6.336485967040062e-5,0.00047423900105059147,0.00032053847098723054
524288,512,0.00010765157639980316,0.0007222425192594528,0.00044651597272604704
1048576,256,0.00021682307124137878,0.001048496924340725,0.00083464157457153
